Variable i,Variable j,Time lag of i,Link type i --- j,Link value
coolant,coolant,1,-->,0.68789
coolant,stator_winding,0,o-o,0.24688
coolant,stator_winding,1,-->,0.071565
coolant,stator_tooth,0,o-o,0.36823
coolant,stator_tooth,1,-->,0.114
coolant,stator_tooth,3,-->,0.040233
coolant,pm,0,o-o,0.30781
coolant,stator_yoke,0,o-o,0.54108
coolant,stator_yoke,1,-->,0.34198
coolant,stator_yoke,64,-->,0.039237
coolant,ambient,0,o-o,0.1172
stator_winding,coolant,2,-->,0.045592
stator_winding,stator_winding,1,-->,0.3351
stator_winding,u_d,0,o-o,-0.087667
stator_winding,stator_tooth,0,o-o,0.89101
stator_winding,stator_tooth,1,-->,0.17274
stator_winding,motor_speed,0,o-o,0.17041
stator_winding,i_d,0,o-o,-0.42725
stator_winding,i_d,1,-->,-0.036808
stator_winding,i_q,0,o-o,0.080379
stator_winding,pm,0,o-o,0.65105
stator_winding,stator_yoke,0,o-o,0.73311
stator_winding,stator_yoke,1,-->,0.20688
stator_winding,ambient,0,o-o,0.14054
stator_winding,ambient,1,-->,-0.034458
stator_winding,torque,0,o-o,0.09352
u_d,stator_winding,3,-->,0.055357
u_d,u_d,1,-->,0.24419
u_d,u_d,2,-->,0.10105
u_d,u_d,7,-->,0.047498
u_d,stator_tooth,0,o-o,-0.027039
u_d,motor_speed,0,o-o,-0.095016
u_d,i_d,0,o-o,0.23811
u_d,i_d,16,-->,0.03457
u_d,i_d,95,-->,0.037546
u_d,i_q,0,o-o,-0.77679
u_d,i_q,1,-->,0.064244
u_d,ambient,0,o-o,0.033648
u_d,torque,0,o-o,-0.80649
u_d,torque,1,-->,0.037896
stator_tooth,u_d,39,-->,-0.038473
stator_tooth,stator_tooth,1,-->,0.11249
stator_tooth,motor_speed,0,o-o,0.12686
stator_tooth,i_d,0,o-o,-0.21305
stator_tooth,i_q,20,-->,0.047495
stator_tooth,pm,0,o-o,0.81614
stator_tooth,stator_yoke,0,o-o,0.91697
stator_tooth,ambient,0,o-o,0.20711
stator_tooth,torque,40,-->,-0.034735
motor_speed,stator_winding,1,-->,-0.11477
motor_speed,stator_winding,4,-->,0.037472
motor_speed,motor_speed,1,-->,0.55661
motor_speed,motor_speed,2,-->,0.043389
motor_speed,motor_speed,3,-->,0.059643
motor_speed,motor_speed,12,-->,0.045315
motor_speed,i_d,0,o-o,-0.56247
motor_speed,i_d,1,-->,-0.11454
motor_speed,i_d,2,-->,0.03889
motor_speed,i_q,1,-->,-0.036247
motor_speed,i_q,11,-->,-0.03726
motor_speed,pm,0,o-o,0.08218
motor_speed,pm,1,-->,0.04624
motor_speed,stator_yoke,0,o-o,0.061031
motor_speed,torque,0,o-o,0.026254
motor_speed,torque,1,-->,-0.043366
i_d,stator_winding,1,-->,-0.45792
i_d,stator_winding,2,-->,0.10425
i_d,stator_winding,3,-->,0.050262
i_d,stator_winding,4,-->,0.05386
i_d,stator_winding,5,-->,0.041515
i_d,u_d,1,-->,0.052979
i_d,u_d,21,-->,0.035054
i_d,stator_tooth,1,-->,-0.37292
i_d,stator_tooth,2,-->,0.074871
i_d,stator_tooth,3,-->,0.047291
i_d,stator_tooth,4,-->,0.043474
i_d,stator_tooth,5,-->,0.039437
i_d,motor_speed,28,-->,-0.046314
i_d,motor_speed,30,-->,0.038666
i_d,i_d,1,-->,0.34731
i_d,i_d,2,-->,0.083568
i_d,i_d,3,-->,0.082567
i_d,i_d,9,-->,0.037363
i_d,i_d,28,-->,0.044467
i_d,i_q,0,o-o,-0.17138
i_d,i_q,20,-->,0.041944
i_d,i_q,54,-->,0.037154
i_d,pm,0,o-o,-0.094349
i_d,pm,1,-->,-0.10971
i_d,pm,43,-->,-0.035606
i_d,stator_yoke,0,o-o,-0.070662
i_d,stator_yoke,1,-->,-0.19274
i_d,stator_yoke,5,-->,0.044029
i_d,ambient,0,o-o,0.02881
i_d,torque,0,o-o,-0.20341
i_d,torque,1,-->,-0.046844
i_q,coolant,67,-->,0.036134
i_q,stator_winding,1,-->,0.035993
i_q,stator_winding,2,-->,-0.041977
i_q,u_d,1,-->,-0.039228
i_q,i_d,95,-->,-0.035052
i_q,i_q,1,-->,0.41615
i_q,i_q,3,-->,0.035467
i_q,i_q,16,-->,0.041792
i_q,pm,0,o-o,-0.022843
i_q,stator_yoke,1,-->,0.049977
i_q,stator_yoke,25,-->,-0.03466
i_q,ambient,0,o-o,-0.032605
i_q,torque,0,o-o,0.99379
i_q,torque,1,-->,0.39039
i_q,torque,2,-->,-0.042733
i_q,torque,16,-->,0.043096
pm,stator_winding,1,-->,-0.076019
pm,u_d,39,-->,-0.034818
pm,stator_tooth,1,-->,-0.079454
pm,i_q,20,-->,0.040158
pm,pm,1,-->,0.57307
pm,stator_yoke,0,o-o,0.79975
pm,stator_yoke,1,-->,-0.049573
pm,stator_yoke,2,-->,-0.047789
pm,stator_yoke,4,-->,-0.040942
pm,ambient,0,o-o,0.27534
pm,ambient,1,-->,0.076277
stator_yoke,coolant,1,-->,-0.052041
stator_yoke,u_d,39,-->,-0.035027
