
Variable i,Variable j,Time lag of i,Link type i --- j,Link value
u_q,u_d,0,o-o,1.0
u_q,i_q,0,-->,0.8
u_d,u_q,0,o-o,1.0
u_d,i_d,0,-->,0.8
i_q,torque,0,o-o,0.95
i_d,torque,0,o-o,0.1
torque,motor_speed,1,-->,0.7
motor_speed,torque,0,o-o,0.6
motor_speed,pm,1,-->,0.4
i_q,stator_winding,2,-->,0.6
i_d,stator_winding,2,-->,0.4
torque,stator_winding,1,-->,0.3
motor_speed,stator_winding,1,-->,0.2
stator_winding,stator_tooth,1,-->,0.7
stator_tooth,stator_yoke,1,-->,0.5
stator_tooth,pm,2,-->,0.4
stator_winding,coolant,3,-->,0.5
stator_tooth,coolant,3,-->,0.3
ambient,coolant,0,o-o,0.6
ambient,stator_winding,4,-->,0.2
ambient,stator_tooth,4,-->,0.2
ambient,stator_yoke,4,-->,0.2
ambient,pm,4,-->,0.2
u_q,motor_speed,0,o-o,0.6
u_d,motor_speed,0,o-o,0.5
i_q,motor_speed,0,o-o,0.3
i_d,motor_speed,0,o-o,0.3
coolant,stator_winding,2,-->,0.3
coolant,stator_tooth,2,-->,0.2
coolant,stator_yoke,3,-->,0.2
coolant,pm,3,-->,0.2
